reference_date,target,horizon,location,output_type,output_type_id,value,target_end_date
2025-09-27,wk inc flu hosp,-1,US,quantile,0.01,664.93,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.025,679.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.05,714.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.1,749.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.15,770.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.2,798.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.25,805.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.3,826.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.35,833.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.4,847.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.45,861.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.5,868.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.55,882.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.6,896.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.65,912.4500000000002,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.7,931.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.75,939.75,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.8,959.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.85,980.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.9,1008.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.95,1050.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.975,1092.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.99,1155.07,2025-09-20
2025-09-27,wk inc flu hosp,0,US,quantile,0.01,539.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.025,609.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.05,644.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.1,679.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.15,714.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.2,735.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.25,749.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.3,770.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.35,784.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.4,805.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.45,819.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.5,840.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.55,861.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.6,877.7999999999998,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.65,896.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.7,910.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.75,932.75,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.8,959.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.85,987.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.9,1029.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.95,1092.3499999999997,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.975,1134.1749999999997,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.99,1197.0,2025-09-27
2025-09-27,wk inc flu hosp,1,US,quantile,0.01,469.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.025,518.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.05,553.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.1,602.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.15,637.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.2,665.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.25,693.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.3,707.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.35,728.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.4,749.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.45,770.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.5,791.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.55,819.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.6,840.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.65,861.0,2025-10-04
2025-09-27,wk inc flu hosp,1,US,quantile,0.7,884.0999999999997,2025-10-04
