reference_date,target,horizon,location,output_type,output_type_id,value,target_end_date
2025-09-27,wk inc flu hosp,-1,US,quantile,0.01,658.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.025,686.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.05,721.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.1,756.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.15,777.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.2,798.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.25,812.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.3,826.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.35,847.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.4,861.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.45,868.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.5,882.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.55,896.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.6,910.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.65,924.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.7,938.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.75,952.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.8,966.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.85,987.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.9,1015.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.95,1064.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.975,1106.0,2025-09-20
2025-09-27,wk inc flu hosp,-1,US,quantile,0.99,1134.07,2025-09-20
2025-09-27,wk inc flu hosp,0,US,quantile,0.01,581.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.025,630.0,2025-09-27
2025-09-27,wk inc flu hosp,0,US,quantile,0.05,657.65,2025-09-27
