,reference_date,target,horizon,location,output_type,output_type_id,value,target_end_date
0,2025-09-27,wk inc flu hosp,-1,US,quantile,0.01,664.93,2025-09-20
1,2025-09-27,wk inc flu hosp,-1,US,quantile,0.025,692.8249999999999,2025-09-20
2,2025-09-27,wk inc flu hosp,-1,US,quantile,0.05,721.0,2025-09-20
3,2025-09-27,wk inc flu hosp,-1,US,quantile,0.1,756.0,2025-09-20
4,2025-09-27,wk inc flu hosp,-1,US,quantile,0.15,777.0,2025-09-20
5,2025-09-27,wk inc flu hosp,-1,US,quantile,0.2,798.0,2025-09-20
6,2025-09-27,wk inc flu hosp,-1,US,quantile,0.25,812.0,2025-09-20
7,2025-09-27,wk inc flu hosp,-1,US,quantile,0.3,826.0,2025-09-20
8,2025-09-27,wk inc flu hosp,-1,US,quantile,0.35,840.0,2025-09-20
9,2025-09-27,wk inc flu hosp,-1,US,quantile,0.4,854.0,2025-09-20
10,2025-09-27,wk inc flu hosp,-1,US,quantile,0.45,868.0,2025-09-20
11,2025-09-27,wk inc flu hosp,-1,US,quantile,0.5,882.0,2025-09-20
12,2025-09-27,wk inc flu hosp,-1,US,quantile,0.55,896.0,2025-09-20
13,2025-09-27,wk inc flu hosp,-1,US,quantile,0.6,910.0,2025-09-20
14,2025-09-27,wk inc flu hosp,-1,US,quantile,0.65,924.0,2025-09-20
15,2025-09-27,wk inc flu hosp,-1,US,quantile,0.7,938.0,2025-09-20
16,2025-09-27,wk inc flu hosp,-1,US,quantile,0.75,959.0,2025-09-20
17,2025-09-27,wk inc flu hosp,-1,US,quantile,0.8,973.0,2025-09-20
18,2025-09-27,wk inc flu hosp,-1,US,quantile,0.85,995.0499999999998,2025-09-20
19,2025-09-27,wk inc flu hosp,-1,US,quantile,0.9,1022.0,2025-09-20
20,2025-09-27,wk inc flu hosp,-1,US,quantile,0.95,1064.0,2025-09-20
21,2025-09-27,wk inc flu hosp,-1,US,quantile,0.975,1092.1749999999997,2025-09-20
22,2025-09-27,wk inc flu hosp,-1,US,quantile,0.99,1148.0,2025-09-20
23,2025-09-27,wk inc flu hosp,0,US,quantile,0.01,573.93,2025-09-27
24,2025-09-27,wk inc flu hosp,0,US,quantile,0.025,609.0,2025-09-27
25,2025-09-27,wk inc flu hosp,0,US,quantile,0.05,644.0,2025-09-27
26,2025-09-27,wk inc flu hosp,0,US,quantile,0.1,679.0,2025-09-27
27,2025-09-27,wk inc flu hosp,0,US,quantile,0.15,721.0,2025-09-27
28,2025-09-27,wk inc flu hosp,0,US,quantile,0.2,742.0,2025-09-27
29,2025-09-27,wk inc flu hosp,0,US,quantile,0.25,763.0,2025-09-27
30,2025-09-27,wk inc flu hosp,0,US,quantile,0.3,777.0,2025-09-27
31,2025-09-27,wk inc flu hosp,0,US,quantile,0.35,798.0,2025-09-27
32,2025-09-27,wk inc flu hosp,0,US,quantile,0.4,819.0,2025-09-27
33,2025-09-27,wk inc flu hosp,0,US,quantile,0.45,833.0,2025-09-27
34,2025-09-27,wk inc flu hosp,0,US,quantile,0.5,847.0,2025-09-27
35,2025-09-27,wk inc flu hosp,0,US,quantile,0.55,864.1500000000003,2025-09-27
36,2025-09-27,wk inc flu hosp,0,US,quantile,0.6,875.0,2025-09-27
37,2025-09-27,wk inc flu hosp,0,US,quantile,0.65,896.0,2025-09-27
38,2025-09-27,wk inc flu hosp,0,US,quantile,0.7,917.0,2025-09-27
39,2025-09-27,wk inc flu hosp,0,US,quantile,0.75,938.0,2025-09-27
40,2025-09-27,wk inc flu hosp,0,US,quantile,0.8,959.0,2025-09-27
41,2025-09-27,wk inc flu hosp,0,US,quantile,0.85,987.0,2025-09-27
42,2025-09-27,wk inc flu hosp,0,US,quantile,0.9,1015.0,2025-09-27
43,2025-09-27,wk inc flu hosp,0,US,quantile,0.95,1064.0,2025-09-27
44,2025-09-27,wk inc flu hosp,0,US,quantile,0.975,1092.0,2025-09-27
45,2025-09-27,wk inc flu hosp,0,US,quantile,0.99,1141.07,2025-09-27
46,2025-09-27,wk inc flu hosp,1,US,quantile,0.01,490.0,2025-10-04
47,2025-09-27,wk inc flu hosp,1,US,quantile,0.025,532.0,2025-10-04
48,2025-09-27,wk inc flu hosp,1,US,quantile,0.05,580.65,2025-10-04
49,2025-09-27,wk inc flu hosp,1,US,quantile,0.1,609.0,2025-10-04
50,2025-09-27,wk inc flu hosp,1,US,quantile,0.15,651.0,2025-10-04
51,2025-09-27,wk inc flu hosp,1,US,quantile,0.2,679.0,2025-10-04
52,2025-09-27,wk inc flu hosp,1,US,quantile,0.25,700.0,2025-10-04
53,2025-09-27,wk inc flu hosp,1,US,quantile,0.3,728.0,2025-10-04
54,2025-09-27,wk inc flu hosp,1,US,quantile,0.35,749.0,2025-10-04
55,2025-09-27,wk inc flu hosp,1,US,quantile,0.4,770.0,2025-10-04
56,2025-09-27,wk inc flu hosp,1,US,quantile,0.45,791.0,2025-10-04
57,2025-09-27,wk inc flu hosp,1,US,quantile,0.5,812.0,2025-10-04
58,2025-09-27,wk inc flu hosp,1,US,quantile,0.55,833.0,2025-10-04
59,2025-09-27,wk inc flu hosp,1,US,quantile,0.6,854.0,2025-10-04
60,2025-09-27,wk inc flu hosp,1,US,quantile,0.65,882.0,2025-10-04
61,2025-09-27,wk inc flu hosp,1,US,quantile,0.7,903.0,2025-10-04
62,2025-09-27,wk inc flu hosp,1,US,quantile,0.75,924.0,2025-10-04
63,2025-09-27,wk inc flu hosp,1,US,quantile,0.8,952.0,2025-10-04
64,2025-09-27,wk inc flu hosp,1,US,quantile,0.85,994.0,2025-10-04
65,2025-09-27,wk inc flu hosp,1,US,quantile,0.9,1036.0,2025-10-04
66,2025-09-27,wk inc flu hosp,1,US,quantile,0.95,1113.0,2025-10-04
67,2025-09-27,wk inc flu hosp,1,US,quantile,0.975,1176.0,2025-10-04
68,2025-09-27,wk inc flu hosp,1,US,quantile,0.99,1260.07,2025-10-04
69,2025-09-27,wk inc flu hosp,2,US,quantile,0.01,433.93,2025-10-11
70,2025-09-27,wk inc flu hosp,2,US,quantile,0.025,462.0,2025-10-11
71,2025-09-27,wk inc flu hosp,2,US,quantile,0.05,504.0,2025-10-11
72,2025-09-27,wk inc flu hosp,2,US,quantile,0.1,552.3000000000001,2025-10-11
73,2025-09-27,wk inc flu hosp,2,US,quantile,0.15,581.0,2025-10-11
74,2025-09-27,wk inc flu hosp,2,US,quantile,0.2,621.6000000000001,2025-10-11
75,2025-09-27,wk inc flu hosp,2,US,quantile,0.25,651.0,2025-10-11
76,2025-09-27,wk inc flu hosp,2,US,quantile,0.3,679.0,2025-10-11
77,2025-09-27,wk inc flu hosp,2,US,quantile,0.35,707.0,2025-10-11
78,2025-09-27,wk inc flu hosp,2,US,quantile,0.4,728.0,2025-10-11
79,2025-09-27,wk inc flu hosp,2,US,quantile,0.45,749.0,2025-10-11
80,2025-09-27,wk inc flu hosp,2,US,quantile,0.5,770.0,2025-10-11
81,2025-09-27,wk inc flu hosp,2,US,quantile,0.55,798.0,2025-10-11
82,2025-09-27,wk inc flu hosp,2,US,quantile,0.6,826.0,2025-10-11
